"zone_id","datum","uur","max_availability","avg_availability"
51937,2024-08-13,18,28,28
51937,2024-08-13,19,28,28
51937,2024-08-13,20,28,28
51937,2024-08-13,21,28,28
51937,2024-08-13,22,28,28
51937,2024-08-13,23,29,29
51937,2024-08-14,0,29,29
51937,2024-08-14,1,29,29
51937,2024-08-14,2,29,29
51937,2024-08-14,3,29,29
51937,2024-08-14,4,29,29
51937,2024-08-14,5,29,29
51937,2024-08-14,6,29,29
51937,2024-08-14,7,29,29
51937,2024-08-14,8,29,29
51937,2024-08-14,9,29,29
51937,2024-08-14,10,29,29
51937,2024-08-14,11,28,28
51937,2024-08-14,12,28,28
51937,2024-08-14,13,28,28
51937,2024-08-14,14,28,28
51937,2024-08-14,15,28,28
51937,2024-08-14,16,28,28
51937,2024-08-14,17,28,28
51937,2024-08-14,18,28,28
51937,2024-08-14,19,28,28
51937,2024-08-14,20,28,28
51937,2024-08-14,21,28,28
51937,2024-08-14,22,27,27
51937,2024-08-14,23,27,27
51937,2024-08-15,0,27,27
51937,2024-08-15,1,27,27
51937,2024-08-15,2,27,27
51937,2024-08-15,3,27,27
51937,2024-08-15,4,27,27
51937,2024-08-15,5,27,27
51937,2024-08-15,6,27,27
51937,2024-08-15,7,27,27
51937,2024-08-15,8,28,28
51937,2024-08-15,9,28,28
51937,2024-08-15,10,28,28
51937,2024-08-15,11,18,18
51937,2024-08-15,12,18,18
51937,2024-08-15,13,18,18
51937,2024-08-15,14,19,19
51937,2024-08-15,15,19,19
51937,2024-08-15,16,19,19
51937,2024-08-15,17,18,18
51937,2024-08-15,18,18,18
51937,2024-08-15,19,18,18
51937,2024-08-15,20,18,18
51937,2024-08-15,21,18,18
51937,2024-08-15,22,19,19
51937,2024-08-15,23,19,19
51937,2024-08-16,0,20,20
51937,2024-08-16,1,20,20
51937,2024-08-16,2,20,20
51937,2024-08-16,3,20,20
51937,2024-08-16,4,20,20
51937,2024-08-16,5,20,20
51937,2024-08-16,6,20,20
51937,2024-08-16,7,20,20
51937,2024-08-16,8,20,20
51937,2024-08-16,9,17,17
51937,2024-08-16,10,17,17
51937,2024-08-16,11,11,11
51937,2024-08-16,12,8,8
51937,2024-08-16,13,8,8
51937,2024-08-16,14,9,9
51937,2024-08-16,15,9,9
51937,2024-08-16,16,9,9
51937,2024-08-16,17,9,9
51937,2024-08-16,18,8,8
51937,2024-08-16,19,8,8
51937,2024-08-16,20,8,8
51937,2024-08-16,21,8,8
51937,2024-08-16,22,8,8
51937,2024-08-16,23,8,8
51937,2024-08-17,0,8,8
51937,2024-08-17,1,8,8
51937,2024-08-17,2,8,8
51937,2024-08-17,3,8,8
51937,2024-08-17,4,8,8
51937,2024-08-17,5,8,8
51937,2024-08-17,6,8,8
51937,2024-08-17,7,9,9
