name,WKT
Metrostation Kralingsezoom (Gravenweg) no-park,"POLYGON((4.531635631 51.922219151, 4.531888287 51.922625008, 4.531947044 51.922672116, 4.532846031 51.92301999, 4.533674508 51.923092464, 4.533927164 51.92301999, 4.536324461 51.921809666, 4.536306834 51.921425545, 4.533239704 51.92099431, 4.532305464 51.921161006, 4.531635631 51.922219151))"
Molenvliet no-park,"POLYGON((4.518683828 51.882669973, 4.518694557 51.882272614, 4.521076358 51.880729501, 4.521387495 51.880742747, 4.52327577 51.88261037, 4.523329414 51.882756067, 4.523340143 51.882901765, 4.522031225 51.883908388, 4.521666444 51.884027592, 4.521237291 51.884014347, 4.520625747 51.883875276, 4.518683828 51.882669973))"
Blijdorplaan no-park,"POLYGON((4.441620716 51.92566548, 4.440087651 51.926274019, 4.438563396 51.927702967, 4.438810096 51.927871395, 4.438686746 51.927942026, 4.438942257 51.928083288, 4.439144904 51.927958326, 4.439532575 51.928398408, 4.442519409 51.927811631, 4.442915891 51.927507372, 4.44216698 51.926274019, 4.441620716 51.92566548))"
Frankendaal no-park,"POLYGON((4.521317621 51.885236845, 4.520920654 51.885336179, 4.518860718 51.886740071, 4.518871446 51.88709766, 4.52004089 51.888018105, 4.521650215 51.888329331, 4.522411962 51.888223382, 4.522808929 51.88789229, 4.52299132 51.887442001, 4.522873302 51.886402346, 4.522701641 51.885938798, 4.521317621 51.885236845))"
Metrostation Schenkel no-park,"POLYGON((4.564022461 51.93053485, 4.562936499 51.930967735, 4.562174132 51.931319451, 4.562031531 51.931664401, 4.56205347 51.931867311, 4.562349641 51.932401637, 4.563062646 51.932844649, 4.56339721 51.932990064, 4.564675135 51.932929192, 4.565240055 51.932841267, 4.566254717 51.932438836, 4.566265686 51.93207022, 4.565377172 51.931055665, 4.564795798 51.930737766, 4.564022461 51.93053485))"
Metrostation Hesseplaats no-park,"POLYGON((4.55217867 51.963151884, 4.553398859 51.964208916, 4.554099561 51.964677873, 4.554461994 51.964845357, 4.556056696 51.964279632, 4.556721155 51.963836725, 4.556811764 51.963494306, 4.555802993 51.96235165, 4.55487275 51.961923611, 4.552239075 51.962794572, 4.552154508 51.962950896, 4.55217867 51.963151884))"
Metrostation Binnenhof no-park,"POLYGON((4.53297035 51.959863397, 4.532902477 51.960208446, 4.533886635 51.961156445, 4.534836856 51.961679229, 4.53564002 51.961588614, 4.537099289 51.961173871, 4.538004262 51.96109371, 4.538043854 51.960755639, 4.536692051 51.959751866, 4.534695454 51.959291796, 4.533485053 51.959859912, 4.53297035 51.959863397))"
Winkelhart Plein 1953 no-park,"POLYGON((4.466916035 51.87591657, 4.467576374 51.87601509, 4.46780199 51.875987912, 4.468088137 51.875756898, 4.469133673 51.875614213, 4.469529877 51.875495308, 4.470091165 51.875002698, 4.470300272 51.874775076, 4.47025625 51.874414956, 4.467895538 51.874146562, 4.467741459 51.873908744, 4.466883018 51.874020859, 4.466486814 51.87413637, 4.465622871 51.874822639, 4.465457786 51.87494834, 4.465512814 51.87532884, 4.465914521 51.875553062, 4.466916035 51.87591657))"
Elandstraat no-park,"POLYGON((4.551582439 51.91122772, 4.553251471 51.911945144, 4.555167845 51.911608185, 4.556260315 51.911142056, 4.556264867 51.910765779, 4.555254332 51.910001983, 4.552195417 51.909878427, 4.551558142 51.910858444, 4.551582439 51.91122772))"
Herenwaard + Keizerswaard no-park,"POLYGON((4.550613663 51.888214996, 4.549229853 51.888591275, 4.548043022 51.888839176, 4.546999648 51.889219888, 4.545981107 51.888445163, 4.545973934 51.887316257, 4.545844823 51.886019086, 4.549129978 51.885611775, 4.55055737 51.885771158, 4.551167061 51.886275867, 4.551109678 51.887081618, 4.550916012 51.887519905, 4.550613663 51.888214996))"
